
[1] 少侠便少侠，什么叫小小少侠？,好感度+4,
[2] ……,好感度+1,
[3] 有事吗？,好感度+3,
[4] 你不是闲人，你是唐盟主！,好感度+1,
[5] 你不是闲人，你是唐师兄！,好感度+4,
[6] 你不是闲人，你是……,好感度+3,
[7] 有兴趣，但有些紧张。,好感度+4,
[8] 有兴趣，但不知道聊什么。,好感度+3,
[9] 有点事在忙，下次聊吧。,好感度+1,
[10] 啊，恳请告知……,好感度+1,
[11] <career=7,她><career!=7,他>一切可好？我很想<career=7,她><career!=7,他>……,好感度+4,
[12] 听说你和我<career=7,师姐><career!=7,师兄>是很好的朋友……,好感度+3,
[13] 多谢唐……,
[14] 当然是写我一切都好，让<career=7,她><career!=7,他>放心。,
[15] 当然提过，提过很多次，但却没有特别详细……,
[16] <career=7,师姐><career!=7,师兄>连这个都说了……,好感度+1,
[17] 是啊，初次下山，还请唐师兄多多指教,好感度+3,
[18] 初到山下，见到好多没见过的景色和没吃过的美食……,好感度+4,
[19] 羡慕？唐师兄何出此言,好感度+1,
[20] 有空能讲讲你和<career=7,师姐><career!=7,师兄>的故事吗？,好感度+4,
[21] 唐师兄是觉得岁月不饶人了？,好感度+3,
[22] 可唐师兄十八岁时就当上盟主了……,好感度+1,
[23] 早几年也是前辈，我要和你多学习才是,好感度+3,
[24] 说起来，唐师兄的确很年轻呢,好感度+4,
[25] 这……不会又是吃火锅吧？,好感度+3,
[26] ……真的吗？唐师兄要请我吃饭？,好感度+1,
[27] 桑楚山庄风光宜人，托唐师兄的福，美食美景都全了,好感度+4,
[28] 我没有在发呆。,好感度+1,
[29] 偷得浮生半日闲……,好感度+3,
[30] 那是我掐指一算，感觉能偶遇唐师兄啊,好感度+4,
[31] 去郑谷楼吃好吃的！,好感度+4,
[32] 没事做……在闲逛。,好感度+3,
[33] 去打工赚钱！,好感度+1,
[34] 偷来换好吃的！,好感度+3,
[35] 偷来送给唐师兄,好感度+1,
[36] 偷来一片天，明月落阶前。,好感度+4,
[37] 司空央！,好感度+1,
[38] 跟<career=7,师姐><career!=7,师兄>学的。,好感度+4,
[39] 我随便说说……,好感度+3,
[40] 好啊，唐师兄要请客吗？,
[41] 啊……我立刻就去练功。唐师兄千万别跟我<career=7,师姐><career!=7,师兄>打小报告啊！,
[42] 要好好努力才买得起江南的大房子啊,
[43] ？？？,
[44] 唐师兄嘴上说着自己很闲，实际上却忙得见不到人影。,
[45] 不熟，只是总撞见。,
[46] <career=7,她><career!=7,他>没教我这个，但是<career=7,她><career!=7,他>教我……看到唐师兄，要嘴甜。,
[47] 偶遇唐师兄是好事，如此好事，当然成真最好。,
[48] 说明唐师兄很清闲？,好感度+3,
[49] 说明我和你有缘！,好感度+4,
[50] 唉……我也不想总找唐师兄的,好感度+1,
[51] 忙着躲红渠师姐？,好感度+3,
[52] 也是，作为盟主，那一定很忙。,好感度+1,
[53] 忙中偷闲，说明唐师兄很会过日子！,好感度+4,
[54] 既然这么有缘，唐师兄请我吃饭吧！,好感度+3,
[55] 既然这么有缘，我们一起去玩儿吧！,好感度+4,
[56] 你我本无缘……,好感度+1,
[57] 唐师兄是伤心了？,好感度+1,
[58] 可是红渠师姐催得实在紧……,好感度+4,
[59] 逗你的！我很开心能碰到唐师兄,好感度+3,
[60] 哪有啊，刚刚我在街角碰到李师姐了，她还夸我可爱来着！,
[61] 呃……我下次一定不会开小差的！,
[62] ……怎么听起来，好像你希望被我找到一样？,
[63] 江湖上，每个人都会戴着一张面具,好感度+4,
[64] 没什么，唐师兄多想了,好感度+1,
[65] 唐师兄怎么看待面具？,好感度+3,
[66] 唐师兄似乎意有所指？,好感度+1,
[67] 你也会吗？,好感度+3,
[68] 如果可以，我希望自己不用这样。,好感度+4,
[69] 真的没什么,好感度+1,
[70] 会被别人的表里不一伤害到,好感度+4,
[71] 我会不会也戴着这样的面具呢？,好感度+3,
[72] 你最喜欢……自己哪一个身份呢？,好感度+4,
[73] 是不由自主的意思吗？,好感度+1,
[74] 唐师兄会为此苦恼吗？,好感度+3,
[75] 在唐师兄面前的我，不需要戴任何面具吧？,
[76] 那今天就去吃！,好感度+4,
[77] 不了吧……我还有事……,好感度+1,
[78] 为啥唐师兄那么喜欢吃火锅？,好感度+3,
[79] 我知道又是下次。没事，习惯了。,好感度+3,
